CustomerID,CustomerName,Segment,LocationID,RegistrationDate,CustomerTier
1,Customer_00001,Enterprise,16,2020-03-04,Silver
2,Customer_00002,Retail,21,2021-12-04,Bronze
3,Customer_00003,SME,17,2019-03-29,Silver
4,Customer_00004,Wholesale,15,2020-02-19,Bronze
5,Customer_00005,Retail,12,2018-11-01,Bronze
6,Customer_00006,SME,7,2019-06-19,Silver
7,Customer_00007,Enterprise,8,2018-10-09,Silver
8,Customer_00008,Enterprise,19,2020-02-11,Gold
9,Customer_00009,Retail,2,2021-12-21,Gold
10,Customer_00010,Retail,3,2021-06-20,Gold
11,Customer_00011,Retail,10,2020-02-13,Gold
12,Customer_00012,SME,20,2020-05-15,Gold
13,Customer_00013,Wholesale,17,2018-09-28,Bronze
14,Customer_00014,SME,15,2020-04-24,Silver
15,Customer_00015,Retail,14,2018-06-21,Bronze
16,Customer_00016,Retail,3,2021-03-26,Bronze
17,Customer_00017,Wholesale,9,2020-06-03,Bronze
18,Customer_00018,Retail,2,2018-11-24,Gold
19,Customer_00019,SME,19,2021-06-29,Gold
20,Customer_00020,Wholesale,19,2020-09-06,Platinum
21,Customer_00021,Enterprise,7,2018-12-01,Platinum
22,Customer_00022,Retail,8,2019-08-02,Gold
23,Customer_00023,SME,8,2018-10-22,Bronze
24,Customer_00024,SME,23,2019-11-20,Gold
25,Customer_00025,Enterprise,13,2018-06-23,Gold
26,Customer_00026,retail,20,2018-05-26,Gold
27,Customer_00027,Retail,12,2018-01-01,Bronze
28,Customer_00028,Retail,18,2021-07-02,Bronze
29,Customer_00029,Retail,14,2019-07-30,Platinum
30,Customer_00030,Wholesale,7,2021-07-14,Bronze
31,Customer_00031,Enterprise,22,2021-01-23,Silver
32,Customer_00032,SME,18,2020-10-08,Silver
33,Customer_00033,Retail,20,2019-05-08,Bronze
34,Customer_00034,Retail,24,2020-03-26,Bronze
35,Customer_00035,Retail,7,2018-06-14,Platinum
36,Customer_00036,Retail,3,2020-10-11,Gold
37,Customer_00037,Retail,15,2019-06-21,Platinum
38,Customer_00038,Retail,9,2018-11-14,Bronze
39,Customer_00039,Retail,11,2017-12-23,Bronze
40,Customer_00040,Wholesale,6,2020-12-30,Silver
41,Customer_00041,Retail,10,2018-12-28,Silver
42,Customer_00042,SME,10,2021-08-27,Bronze
43,Customer_00043,Enterprise,9,2019-10-09,Gold
44,Customer_00044,Retail,19,2020-04-21,Platinum
45,Customer_00045,SME,15,2018-01-25,Silver
46,Customer_00046,sme,12,2018-10-29,Silver
