EmployeeID,WarehouseID,Role,ExperienceYears,ShiftType
1,19,Supervisor,2.8,Night
2,12,Loader,5.3,Day
3,4,Driver Coordinator,4.5,Night
4,19,Warehouse Associate,4.3,Day
5,20,Warehouse Associate,1.6,Night
6,30,Dispatch Coordinator,3.2,Night
7,11,Warehouse Associate,2.2,Night
8,9,Warehouse Associate,6.3,Night
9,25,Driver Coordinator,8.5,Day
10,11,Warehouse Associate,1.1,Night
11,19,Warehouse Associate,3.5,Day
12,23,Warehouse Associate,2.1,Night
13,27,Dispatch Coordinator,4.7,Day
14,10,Loader,13.8,Day
15,19,Warehouse Associate,6.8,Day
16,4,Supervisor,5.0,Rotational
17,24,Supervisor,6.1,Night
18,2,Warehouse Associate,9.2,Day
19,21,Supervisor,6.4,Night
20,7,Dispatch Coordinator,1.3,Day
21,14,Dispatch Coordinator,10.7,Day
22,3,Driver Coordinator,3.8,Day
23,21,Driver Coordinator,4.6,Rotational
24,15,Dispatch Coordinator,8.0,Rotational
25,20,Dispatch Coordinator,13.3,Rotational
26,11,Warehouse Associate,2.5,Day
27,1,Loader,7.7,Day
28,18,Loader,2.4,Rotational
29,21,Warehouse Associate,4.3,Day
30,20,Driver Coordinator,1.0,Night
31,8,Loader,2.4,Rotational
32,22,Warehouse Associate,4.2,Day
33,17,Driver Coordinator,5.2,Day
34,7,Loader,5.0,Rotational
35,4,Dispatch Coordinator,7.0,Night
36,10,Loader,2.7,Rotational
37,1,Driver Coordinator,3.3,Night
38,22,Driver Coordinator,3.4,Day
39,1,Warehouse Associate,2.8,Rotational
40,2,Loader,1.7,Rotational
41,5,Driver Coordinator,3.8,Rotational
42,10,Driver Coordinator,6.3,Day
43,1,Warehouse Associate,4.5,Night
44,19,Loader,2.6,Day
45,4,Driver Coordinator,3.9,Day
46,25,Warehouse Associate,2.4,Rotational
47,17,Dispatch Coordinator,5.3,Rotational
48,3,Loader,6.4,Night
49,13,Loader,6.5,Rotational
50,5,Loader,3.1,Day
51,30,Warehouse Associate,2.5,Rotational
52,18,Supervisor,7.0,Night
53,25,Warehouse Associate,2.9,Night
54,12,Supervisor,3.8,Night
55,5,Dispatch Coordinator,4.5,Night
56,8,Warehouse Associate,3.6,Rotational
57,13,Driver Coordinator,5.9,Day
58,24,Supervisor,1.1,Rotational
59,13,Dispatch Coordinator,5.0,Day
60,28,Warehouse Associate,1.9,Day
61,11,Loader,2.6,Night
62,7,Driver Coordinator,4.1,Rotational
63,15,Warehouse Associate,0.8,Rotational
64,4,Driver Coordinator,3.2,Day
65,21,Dispatch Coordinator,2.8,Day
66,4,Loader,3.3,Night
67,20,Dispatch Coordinator,2.7,Rotational
68,12,Warehouse Associate,3.9,Rotational
69,11,Driver Coordinator,2.4,Rotational
70,19,Warehouse Associate,3.5,Day
71,22,Driver Coordinator,4.1,Rotational
72,28,Warehouse Associate,7.2,Day
73,9,Warehouse Associate,8.3,Rotational
74,25,Driver Coordinator,1.2,Night
75,26,Loader,7.6,Day
76,30,Warehouse Associate,1.7,Night
77,29,Loader,3.5,Rotational
78,24,Warehouse Associate,0.9,Day
79,9,Driver Coordinator,0.5,Day
80,21,Warehouse Associate,13.3,Night
81,24,Loader,3.6,Rotational
82,9,Warehouse Associate,3.0,Night
83,25,Loader,4.5,Day
84,22,Driver Coordinator,3.1,Night
85,15,Supervisor,6.4,Day
86,26,Dispatch Coordinator,4.3,Day
87,3,Warehouse Associate,5.7,Day
88,21,Warehouse Associate,1.9,Day
89,24,Driver Coordinator,1.0,Day
90,2,Warehouse Associate,6.8,Day
91,13,Loader,4.6,Day
92,16,Dispatch Coordinator,1.3,Night
93,7,Driver Coordinator,1.4,Day
94,27,Loader,3.9,Day
95,19,Loader,5.4,Night
96,9,Driver Coordinator,1.7,Rotational
97,14,Driver Coordinator,9.5,Rotational
98,4,Loader,5.9,Day
99,3,Supervisor,7.2,Night
100,23,Loader,3.8,Rotational
101,30,Dispatch Coordinator,3.6,Night
102,9,Warehouse Associate,1.2,Night
103,8,Loader,2.0,Day
104,21,Loader,3.3,Day
105,16,Warehouse Associate,4.7,Day
106,5,Warehouse Associate,4.1,Day
107,21,Loader,0.6,Rotational
108,7,Warehouse Associate,1.6,Day
109,4,Loader,4.3,Night
110,14,Loader,4.8,Rotational
111,23,Dispatch Coordinator,2.6,Night
112,16,Warehouse Associate,5.5,Day
113,20,Dispatch Coordinator,5.5,Rotational
114,8,Dispatch Coordinator,12.7,Day
115,15,Loader,3.6,Day
116,22,Loader,2.6,Day
117,16,Driver Coordinator,1.7,Day
118,8,Warehouse Associate,1.1,Rotational
119,29,Loader,5.3,Day
120,3,Dispatch Coordinator,4.9,Rotational
121,28,Supervisor,1.2,Day
122,22,Warehouse Associate,5.3,Rotational
123,4,Loader,4.0,Day
124,8,Loader,2.9,Rotational
125,12,Dispatch Coordinator,0.6,Day
126,29,Driver Coordinator,4.9,Rotational
127,16,Warehouse Associate,10.3,Rotational
128,8,Warehouse Associate,1.9,Night
129,28,Loader,4.0,Day
130,4,Loader,5.1,Night
131,25,Warehouse Associate,0.3,Night
132,25,Dispatch Coordinator,1.7,Night
133,12,Warehouse Associate,0.9,Night
134,2,Driver Coordinator,10.3,Rotational
135,27,Loader,0.3,Rotational
136,30,Warehouse Associate,2.9,Night
137,12,Dispatch Coordinator,4.3,Day
138,6,Driver Coordinator,1.9,Day
139,9,Driver Coordinator,0.4,Night
140,5,Warehouse Associate,2.9,Rotational
141,19,Loader,1.9,Day
142,16,Warehouse Associate,4.7,Day
143,11,Warehouse Associate,5.9,Day
144,20,Driver Coordinator,1.2,Day
145,19,Driver Coordinator,2.0,Rotational
146,1,Warehouse Associate,2.1,Night
147,13,Driver Coordinator,5.9,Day
148,26,Loader,3.7,Day
149,24,Supervisor,1.3,Day
150,26,Supervisor,7.2,Night
151,29,Loader,1.9,Night
152,2,Driver Coordinator,2.3,Day
153,9,Warehouse Associate,1.6,Day
154,14,Loader,3.9,Rotational
155,16,Dispatch Coordinator,2.6,Rotational
156,24,Supervisor,8.6,Night
157,22,Warehouse Associate,3.7,Day
158,22,Dispatch Coordinator,1.6,Rotational
159,5,Supervisor,3.4,Night
160,21,Dispatch Coordinator,9.4,Rotational
161,24,Warehouse Associate,1.1,Day
162,23,Warehouse Associate,4.9,Day
163,18,Loader,0.6,Day
164,3,Warehouse Associate,8.2,Rotational
165,5,Dispatch Coordinator,2.4,Night
166,23,Loader,1.6,Day
167,27,Driver Coordinator,9.0,Rotational
168,25,Supervisor,3.3,Rotational
169,13,Warehouse Associate,3.4,Day
170,18,Driver Coordinator,2.4,Night
171,6,Supervisor,2.5,Night
172,18,Loader,0.5,Day
173,6,Loader,4.8,Night
174,24,Warehouse Associate,0.9,Day
175,24,Loader,6.5,Rotational
176,2,Loader,1.4,Rotational
177,29,Dispatch Coordinator,3.6,Rotational
178,24,Warehouse Associate,2.1,Rotational
179,12,Warehouse Associate,2.4,Day
180,14,Loader,2.8,Day
181,3,Warehouse Associate,4.3,Night
182,29,Loader,8.9,Day
183,4,Supervisor,2.4,Night
184,28,Dispatch Coordinator,0.4,Day
185,20,Warehouse Associate,7.6,Day
186,28,Warehouse Associate,5.3,Night
187,12,Dispatch Coordinator,1.3,Night
188,27,Supervisor,1.1,Night
189,13,Loader,4.4,Night
190,11,Driver Coordinator,3.9,Day
191,11,Driver Coordinator,10.4,Rotational
192,29,Warehouse Associate,4.9,Night
193,14,Loader,2.0,Night
194,15,Dispatch Coordinator,1.6,Day
195,20,Dispatch Coordinator,3.5,Night
196,17,Dispatch Coordinator,0.5,Day
197,17,Dispatch Coordinator,0.8,Night
