ProductID,ProductName,Category,SubCategory,UnitWeightKg,UnitVolumeM3,FragileFlag
1,Product_00001,Furniture,Office Furniture,7.67,0.0146,True
2,Product_00002,Grocery,Household Supplies,3.69,0.0058,False
3,Product_00003,Electronics,Home Appliances,2.16,0.0592,False
4,Product_00004,Electronics,Laptops,4.08,0.1557,True
5,Product_00005,Electronics,Home Appliances,6.45,0.052,True
6,Product_00006,Grocery,Household Supplies,7.05,0.2156,False
7,Product_00007,Grocery,Beverages,0.59,0.1458,False
8,Product_00008,Apparel,Menswear,17.82,0.2027,False
9,Product_00009,Grocery,Packaged Food,2.1,0.0606,False
10,Product_00010,Industrial,Machinery Components,5.59,0.0348,True
11,Product_00011,Apparel,Womenswear,8.27,0.03,False
12,Product_00012,Grocery,Beverages,3.1,0.1236,False
13,Product_00013,Grocery,Packaged Food,7.25,0.0162,False
14,Product_00014,Furniture,Office Furniture,0.58,0.0175,True
15,Product_00015,Furniture,Home Furniture,7.43,0.0493,True
16,Product_00016,Furniture,Office Furniture,6.81,0.0988,False
17,Product_00017,Electronics,Mobile Phones,4.47,0.0419,True
18,Product_00018,Apparel,Womenswear,6.46,0.1799,False
19,Product_00019,Pharma,Medicines,10.03,0.2047,True
20,Product_00020,Apparel,Womenswear,8.45,0.0027,False
21,Product_00021,Industrial,Machinery Components,3.25,0.1171,False
22,Product_00022,Apparel,Footwear,4.05,0.0522,False
23,Product_00023,Grocery,Beverages,2.83,0.1607,False
24,Product_00024,Grocery,Packaged Food,2.54,0.1201,False
25,Product_00025,Apparel,Footwear,6.01,0.0952,True
26,Product_00026,Pharma,Medical Equipment,2.8,0.0752,True
27,Product_00027,Electronics,Mobile Phones,6.0,0.0176,False
28,Product_00028,Grocery,Beverages,3.1,0.3499,True
29,Product_00029,Grocery,Packaged Food,3.47,0.0261,False
30,Product_00030,Industrial,Machinery Components,1.63,0.2577,False
31,Product_00031,Grocery,Household Supplies,5.89,0.1374,False
32,Product_00032,Industrial,Machinery Components,0.54,0.0545,False
33,Product_00033,Industrial,Spare Parts,7.63,0.0477,False
34,Product_00034,Apparel,Footwear,13.73,0.0167,False
35,Product_00035,Industrial,Spare Parts,3.56,0.0859,False
