RouteID,OriginLocationID,DestinationLocationID,RouteType,DistanceKm,AvgTrafficLevel
1,20,4,National Long-Haul,1081.5,Medium
2,19,24,National Long-Haul,2065.3,High
3,17,22,Inter-State,1339.3,Low
4,24,16,Inter-State,1894.4,High
5,16,10,Inter-State,517.8,Low
6,24,8,Inter-State,1952.8,Medium
7,13,16,National Long-Haul,1202.0,Medium
8,15,18,Inter-State,449.1,Medium
9,7,19,Inter-State,1762.7,Low
10,25,22,National Long-Haul,803.1,Medium
11,22,1,National Long-Haul,723.6,High
12,1,9,National Long-Haul,1533.9,High
13,3,13,Inter-State,1002.8,Medium
14,25,14,National Long-Haul,1816.3,Low
15,21,12,National Long-Haul,1877.4,Medium
16,21,25,Inter-State,1546.1,Medium
17,7,25,National Long-Haul,1141.0,Low
18,20,9,National Long-Haul,1220.1,High
19,8,16,National Long-Haul,639.5,Medium
20,24,4,National Long-Haul,2196.4,Medium
21,5,4,National Long-Haul,661.5,Medium
22,1,18,Inter-State,1301.4,Low
23,19,16,Inter-State,373.9,Medium
24,6,16,National Long-Haul,910.4,Medium
25,15,18,National Long-Haul,1350.5,Medium
26,7,11,National Long-Haul,503.5,Medium
27,3,12,National Long-Haul,775.6,Medium
28,18,23,National Long-Haul,2169.5,Medium
29,3,13,Inter-State,520.8,High
30,5,3,National Long-Haul,448.3,Medium
31,3,20,Inter-State,1822.4,Medium
32,13,23,National Long-Haul,1990.8,High
33,19,23,National Long-Haul,1781.3,Medium
34,15,9,National Long-Haul,1591.5,Medium
35,19,5,Inter-State,2185.4,High
36,17,12,National Long-Haul,1268.8,Medium
37,18,15,Inter-State,927.7,High
38,4,25,National Long-Haul,1590.9,Medium
39,10,3,National Long-Haul,1990.6,Medium
40,25,19,Inter-State,975.3,Low
41,2,19,Inter-State,606.6,Low
42,13,8,National Long-Haul,423.0,Medium
43,8,16,National Long-Haul,2065.8,Low
44,19,16,National Long-Haul,2178.2,Medium
45,5,23,Inter-State,2135.5,Low
46,8,2,Inter-State,1586.8,Low
47,5,25,National Long-Haul,634.0,Medium
48,8,20,Inter-State,2199.4,Medium
49,15,13,National Long-Haul,2054.8,Medium
50,12,17,National Long-Haul,1263.4,High
51,15,22,National Long-Haul,1648.2,Low
52,16,2,Inter-State,822.5,Low
53,12,20,Inter-State,1858.8,High
54,13,10,Inter-State,1002.5,High
55,13,23,Inter-State,616.4,Medium
