VehicleID,CarrierID,VehicleType,CapacityKg,FuelType,VehicleAgeYears
1,5,Container Truck,1513.8,CNG,14
2,9,Two-Wheeler,1618.4,Petrol,8
3,2,Mini Truck,1745.7,Diesel,13
4,9,Container Truck,4007.9,Diesel,1
5,9,Refrigerated Truck,1150.2,Diesel,0
6,2,Container Truck,848.5,Petrol,6
7,3,Two-Wheeler,335.6,Diesel,3
8,5,Mini Truck,2216.1,Diesel,11
9,10,Refrigerated Truck,558.9,Diesel,5
10,8,Mini Truck,1069.7,CNG,6
11,10,Mini Truck,640.3,Diesel,8
12,4,Container Truck,1725.0,Diesel,14
13,10,Two-Wheeler,756.8,Diesel,1
14,10,Van,739.2,Diesel,8
15,6,Van,2540.1,Diesel,5
16,2,Mini Truck,629.7,Diesel,0
17,3,Mini Truck,1167.9,Petrol,12
18,2,Mini Truck,1629.0,Diesel,13
19,9,Refrigerated Truck,1307.3,Diesel,2
20,4,Mini Truck,1510.4,Electric,11
21,8,Container Truck,2267.8,Diesel,10
22,3,Van,1373.3,Diesel,10
23,10,Van,2196.9,Diesel,6
24,8,Container Truck,934.1,Diesel,4
25,4,Mini Truck,738.6,Diesel,1
26,5,Container Truck,1797.7,CNG,0
27,1,Van,1254.9,Diesel,2
28,2,Mini Truck,319.7,Petrol,7
29,10,Van,847.2,Electric,2
30,9,Mini Truck,1487.2,Diesel,10
31,9,Two-Wheeler,1199.2,Petrol,9
32,7,Two-Wheeler,826.9,Diesel,5
33,3,Mini Truck,1249.5,Diesel,1
34,2,Container Truck,1355.6,CNG,7
35,8,Container Truck,463.1,Diesel,12
36,4,Refrigerated Truck,2166.9,Electric,5
37,1,Van,2410.2,Petrol,12
38,1,Van,844.7,Diesel,4
39,6,Mini Truck,3019.5,Diesel,1
40,9,Mini Truck,1204.9,Petrol,9
41,4,Van,897.2,Diesel,13
42,10,Van,882.6,Diesel,13
43,4,Refrigerated Truck,2919.1,Diesel,14
44,8,Refrigerated Truck,701.3,Diesel,1
45,3,Van,1370.4,Electric,0
46,7,Van,1455.8,Diesel,8
47,3,Two-Wheeler,1803.7,Diesel,14
48,8,Refrigerated Truck,1314.6,CNG,14
49,5,Two-Wheeler,2813.8,Petrol,4
50,1,Two-Wheeler,3078.6,CNG,5
51,3,Container Truck,2495.3,Electric,9
52,4,Van,1529.1,Diesel,13
53,5,Van,1990.4,Diesel,2
54,3,Mini Truck,1075.9,Petrol,14
55,6,Van,2206.8,Diesel,12
56,10,Container Truck,925.6,Petrol,1
57,8,Container Truck,767.8,Diesel,12
58,4,Mini Truck,755.8,Electric,9
59,7,Van,1684.9,Petrol,14
60,10,Van,2642.6,Petrol,3
61,3,Van,2747.8,Diesel,14
62,3,Mini Truck,334.9,Electric,0
63,1,Van,2051.4,Petrol,1
64,9,Mini Truck,739.3,CNG,6
65,9,Container Truck,3678.2,CNG,9
66,5,Container Truck,609.1,Diesel,2
67,9,Two-Wheeler,468.9,Diesel,4
68,7,Container Truck,2072.3,Diesel,5
69,10,Van,1041.4,Petrol,1
70,10,Two-Wheeler,1009.0,Petrol,2
71,10,Container Truck,837.5,Diesel,2
72,4,Two-Wheeler,916.0,Electric,14
73,7,Mini Truck,2117.8,Diesel,14
74,2,Container Truck,754.4,CNG,9
75,9,Mini Truck,1180.8,Diesel,10
76,4,Van,710.4,Diesel,2
77,5,Two-Wheeler,1343.7,Diesel,0
78,6,Van,1000.1,Petrol,5
79,8,Van,1612.6,CNG,14
80,8,Container Truck,1720.2,Diesel,7
81,10,Two-Wheeler,2665.0,Diesel,12
