ShipmentID,DateKey,CustomerID,ProductID,CarrierID,VehicleID,WarehouseID,EmployeeID,RouteID,ShipmentStatus,DeliveryMode,ShippingPriority,PaymentMethod,WeatherCondition,TrafficCondition,OrderQuantity,PackageWeightKg,PackageVolumeM3,DistanceKm,ShippingCost,OrderValue,HandlingTimeHours,LoadingTimeHours,WarehouseProcessingTimeHours,FuelConsumptionLiters,PromisedDeliveryDays,ActualDeliveryDays,DeliveryTimeHours,NumPreviousDelaysCustomer,Late_Delivery
1,20240816,1690,456,9,315,7,816.0,27,Delivered,Road,Express,COD,Clear,High,21,100.7,0.614,826.9,1148.45,6795.59,0.11,0.83,1.96,167.59,2,1,24.2,1,0
2,20220209,2755,785,2,74,23,549.0,303,Delivered,Sea,Express,Prepaid,Clear,Low,3,6.74,0.1811,1410.5,2366.69,6048.13,1.42,0.87,5.08,156.02,3,2,48.0,2,0
3,20221024,2601,376,10,56,22,676.0,147,Returned,Road,Standard,COD,Clear,HIGH ,5,1.1,0.33,1243.0,1825.66,2420.39,1.04,0.9,2.88,189.48,5,4,98.3,1,0
4,20241113,1104,198,5,53,10,553.0,177,Delivered,Road,Same-Day,COD,Clear,High,23,35.91,1.8713,2066.3,2888.26,4946.62,2.28,1.89,4.48,412.75,1,6,150.2,0,1
5,20240607,2129,354,8,150,25,254.0,333,Delivered,Road,Standard,COD,Clear,High,21,229.65,2.4703,1930.8,2499.06,6212.62,2.03,1.86,1.79,241.47,6,9,218.5,0,1
6,20231224,33,567,3,45,17,31.0,327,Delivered,Road,Express,Prepaid,Rain,High,11,72.57,0.8184,1846.7,2728.43,5873.04,1.65,1.3,4.12,271.59,4,9,213.9,0,1
7,20241008,2151,2,4,234,28,376.0,281,In Transit,Road,Standard,COD,Rain,High,16,63.33,0.0946,906.3,1211.86,3251.1,2.46,1.07,7.02,184.12,4,4,90.7,0,0
8,20220713,414,526,2,162,21,849.0,186,Delivered,Road,Express,COD,Extreme Heat,Medium,5,27.02,0.4,651.9,1097.26,1675.94,0.95,0.63,4.17,120.68,2,2,45.2,3,0
9,20230811,2730,755,4,347,28,98.0,208,Delivered,Road,Standard,Credit Terms,Clear,Low,5,46.17,0.2763,1696.1,2871.46,7920.79,2.09,1.88,5.18,233.47,6,5,117.4,1,0
10,20240520,894,747,4,186,9,218.0,317,Delivered,Road,Same-Day,Prepaid,Storm,High,13,,1.7562,1313.0,2519.45,1470.77,1.48,1.09,3.15,231.57,1,8,183.2,1,1
11,20220121,2099,139,4,133,6,2.0,266,Delivered,Air,Standard,COD,Fog,High,10,9.81,0.3726,608.6,645.54,3336.69,1.02,0.51,0.86,109.11,3,3,74.2,1,0
12,20230422,2000,785,10,443,24,378.0,106,Delivered,Road,Standard,Prepaid,Clear,Low,5,11.19,0.2746,1290.7,1209.71,3031.97,2.33,1.33,6.31,138.89,5,4,94.6,1,0
13,20230125,767,91,9,463,17,853.0,181,Delivered,Air,Same-Day,COD,Rain,Low,20,50.21,0.5636,1016.4,2216.73,6307.41,1.22,1.47,2.47,87.52,1,1,24.5,2,0
14,20220713,2515,377,1,255,24,390.0,287,Delivered,Sea,Standard,COD,Clear,Medium,13,62.4,0.1973,1878.6,2166.35,4530.79,1.58,2.22,4.86,248.91,6,5,124.2,0,0
15,20220903,551,309,4,52,27,745.0,282,Delivered,Road,Same-Day,Prepaid,Extreme Heat,Low,13,35.01,0.839,1331.9,2313.67,3509.14,1.88,1.29,1.94,198.17,1,1,23.6,2,0
16,20241127,2701,536,4,234,11,536.0,105,In Transit,Road,Standard,Credit Terms,Rain,High,11,10.43,0.6902,1149.3,1141.81,1727.98,1.51,1.15,2.43,198.46,4,3,74.3,1,0
17,20230715,1540,624,10,71,8,74.0,295,Delivered,Road,Standard,Credit Terms,Extreme Heat,Low,10,46.66,2.5691,480.1,945.16,4567.59,1.01,0.62,2.03,60.93,3,3,69.4,0,0
18,20220331,1400,488,7,244,6,270.0,199,Delivered,Road,Standard,Credit Terms,Clear,High,5,7.19,1.0741,999.7,1357.63,1220.49,1.07,0.38,2.27,190.83,4,4,92.3,1,0
19,20240119,705,612,9,294,30,410.0,119,In Transit,Road,Express,Credit Terms,Clear,Low,20,176.04,0.3858,626.3,1469.81,3189.58,1.71,0.99,3.48,72.16,2,1,21.1,1,0
20,20231010,26,786,5,183,17,288.0,173,Cancelled,Road,Standard,COD,Rain,High,15,7.14,0.7453,1249.2,1137.7,5752.6,0.57,0.59,3.47,223.33,5,8,195.9,2,1
21,20230307,2099,410,7,489,23,260.0,156,Delivered,Road,Standard,Prepaid,Clear,Low,21,112.55,1.3784,955.1,1618.85,2042.73,1.15,0.57,2.99,93.24,4,4,100.3,1,0
22,20230312,2198,462,2,171,29,541.0,27,Delivered,Road,Express,Prepaid,Fog,Low,4,28.15,0.1064,755.2,,3420.36,1.29,0.88,3.62,103.38,2,1,23.6,0,0
23,20230812,2529,440,2,462,29,268.0,80,Delivered,Air,Standard,Credit Terms,Clear,Low,20,27.6,3.5735,1436.5,2087.25,5162.73,1.29,1.23,1.42,204.46,5,5,112.2,1,0
24,20241014,2893,215,7,244,30,774.0,48,In Transit,Air,Standard,COD,Clear,High,9,18.62,0.8743,2292.5,2450.21,4590.29,2.08,0.81,1.22,317.82,7,14,350.0,1,1
25,20240412,876,365,6,400,10,806.0,240,Delivered,Road,Standard,COD,Clear,High,1,3.99,0.0534,1600.0,1554.55,1437.55,2.37,1.33,5.74,295.25,6,6,158.0,2,0
26,20230315,1702,448,9,306,21,20.0,146,Cancelled,Road,Express,Prepaid,Rain,Low,4,8.48,0.3302,1914.5,2786.16,2452.25,2.23,0.27,0.95,211.05,4,4,108.0,1,0
27,20220927,2741,21,7,191,7,894.0,48,Delivered,Road,Standard,COD,Clear,Low,16,48.54,1.7359,2219.5,3506.8,9205.76,2.5,0.83,3.7,248.71,7,7,174.5,2,0
28,20220430,1702,315,3,246,14,505.0,209,Delivered,Road,Express,Prepaid,Storm,Medium,21,139.72,0.8774,1966.5,3270.07,3367.95,3.73,1.49,8.04,232.77,4,10,246.7,1,1
29,20220803,2241,223,6,380,29,380.0,166,Returned,Road,Standard,COD,Rain,Low,24,92.41,3.0897,463.2,1013.16,4564.71,0.67,0.74,4.24,74.22,3,2,46.1,1,0
30,20220531,2141,533,1,352,9,497.0,237,Delivered,Road,Standard,Credit Terms,Clear,High,13,36.82,1.4228,1371.3,1745.09,4306.07,1.54,0.78,5.06,198.06,5,4,100.8,1,0
31,20240601,2965,312,7,59,9,734.0,339,Delivered,Road,Express,COD,Clear,Medium,4,31.45,0.4065,374.1,622.7,1599.07,1.07,0.96,1.26,58.98,2,2,46.2,2,0
32,20230924,1022,109,2,465,18,113.0,345,Delivered,Road,Express,Credit Terms,Extreme Heat,Low,10,28.95,0.9898,549.5,1113.25,5675.64,1.16,1.14,3.49,97.9,2,2,46.8,0,0
33,20220210,597,444,5,357,28,150.0,164,Delivered,road,Standard,Credit Terms,Clear,Medium,9,23.34,0.4806,388.0,740.52,1970.62,1.6,0.82,5.81,73.29,2,1,22.8,0,0
34,20241012,2748,370,1,96,20,38.0,12,Delivered,Air,Express,Prepaid,Clear,Medium,22,149.97,2.1763,1517.9,3077.16,6805.16,0.8,0.51,1.7,250.56,3,2,50.1,3,0
35,20220615,1385,528,7,368,6,693.0,24,Delivered,Rail,Express,Credit Terms,Clear,Medium,2,10.48,0.4057,925.8,1580.46,911.84,0.53,1.1,4.03,111.26,2,2,44.7,2,0
36,20231209,582,595,7,126,29,714.0,49,Delivered,Road,Standard,COD,Clear,Low,2,6.72,0.5942,2049.2,2316.86,2477.88,1.08,1.23,2.46,233.47,7,13,334.9,1,1
37,20220114,1921,791,2,272,11,46.0,7,Delivered,Rail,Express,COD,Clear,Medium,15,15.4,1.7404,1232.5,1578.48,5257.31,2.19,1.37,2.22,232.14,3,3,63.9,4,0
38,20231008,2555,495,2,468,14,744.0,226,Delivered,Rail,Standard,COD,Clear,High,16,71.46,1.2515,1225.3,1982.04,2587.49,2.55,1.62,1.02,270.89,5,5,121.3,2,0
39,20230901,2289,406,4,129,19,308.0,333,Delivered,Air,Same-Day,Prepaid,Clear,Medium,20,58.99,,1786.9,2345.37,4428.82,0.98,1.57,5.47,183.58,1,1,22.8,2,0
40,20240923,1009,225,10,373,21,40.0,264,Delivered,Road,Express,Credit Terms,Clear,Low,7,8.01,0.3546,350.0,585.9,4360.77,1.11,0.95,3.87,32.88,2,1,24.7,0,0
41,20231020,2736,538,9,287,28,512.0,248,Delivered,Road,Express,Prepaid,Fog,Low,6,19.02,0.1483,1718.0,1710.9,2979.01,2.42,1.26,4.37,249.05,4,3,74.4,0,0
42,20230621,121,330,5,121,7,607.0,112,Delivered,road,Standard,Prepaid,Clear,Medium,9,44.55,0.7176,1802.0,2336.03,8798.67,1.94,1.45,2.57,301.53,6,11,285.1,1,1
43,20230806,2674,769,8,389,14,57.0,249,Delivered,Road,Express,COD,Clear,Low,5,13.89,0.1698,1164.9,1526.48,4569.78,3.06,1.76,1.23,132.37,3,3,74.5,2,0
44,20231126,550,549,1,414,10,228.0,181,Delivered,Road,Standard,Prepaid,Extreme Heat,Medium,2,1.81,0.2571,985.8,1009.89,6308.3,2.88,1.69,6.02,102.31,4,4,90.5,1,0
45,20230331,709,223,2,488,18,107.0,130,Delivered,Road,Express,Credit Terms,Clear,High,1,4.61,0.1353,1529.2,2115.88,5353.88,1.37,1.11,2.13,254.2,3,2,51.0,1,0
46,20240222,943,752,8,35,9,211.0,20,Delivered,Road,Standard,Prepaid,Clear,Low,2,8.65,0.1864,2402.8,3418.35,1576.35,1.25,1.19,3.76,350.21,8,7,168.6,0,0
47,20230803,1268,363,9,430,10,288.0,176,Returned,Road,Express,Prepaid,Rain,Low,15,77.59,1.1896,1311.6,2153.16,2600.73,0.49,1.58,4.52,205.61,3,2,48.4,0,0
48,20241128,144,497,2,436,21,824.0,148,Delivered,Road,Express,COD,Clear,High,18,64.55,1.0573,1701.5,2880.35,7928.65,1.29,0.64,0.39,362.68,4,12,272.8,2,1
49,20220801,2155,577,8,267,6,428.0,196,Delivered,Road,Standard,Prepaid,Clear,Medium,18,41.42,1.5836,996.8,1375.0,4842.9,1.8,0.61,0.66,125.49,4,3,73.4,0,0
50,20240310,394,524,1,248,14,555.0,164,Delivered,Road,Standard,COD,Fog,High,8,50.32,0.3925,376.1,668.29,5762.37,2.55,2.17,4.76,65.82,2,2,47.4,0,0
51,20240624,397,453,4,163,23,194.0,269,Delivered,Sea,Express,COD,Rain,Low,23,19.81,0.4067,911.6,1194.72,5019.37,2.23,0.69,2.87,159.14,2,2,47.8,3,0
52,20240227,15,587,8,10,15,541.0,316,Delivered,Road,Standard,Prepaid,Rain,Medium,20,50.64,0.8909,1543.1,1571.88,4865.83,1.1,0.55,5.39,165.69,5,4,94.6,2,0
53,20241210,2879,715,5,356,23,286.0,179,Delivered,Road,Same-Day,COD,Rain,Medium,5,44.73,0.1754,2085.4,2715.24,6723.71,1.51,1.86,4.15,306.59,1,1,25.3,2,0
54,20230421,145,131,8,195,14,396.0,120,Delivered,Road,Standard,Prepaid,Rain,High,14,33.37,1.9025,1566.8,1446.92,3770.7,0.64,1.27,4.63,198.64,5,5,125.6,1,0
55,20230816,2241,453,3,33,26,153.0,108,Delivered,Road,Express,Prepaid,Rain,Low,18,14.27,0.2758,1439.8,1882.84,4280.67,1.57,1.57,2.04,169.19,3,2,45.8,2,0
56,20220618,1902,486,7,68,26,574.0,309,In Transit,Air,Standard,COD,Clear,High,9,51.22,0.8883,1772.9,2367.48,4627.85,1.75,1.4,3.57,271.0,6,6,146.8,2,0
57,20230215,2487,738,8,371,5,92.0,187,Delivered,Road,Standard,COD,Rain,Low,10,13.94,,1193.8,1347.16,3293.4,2.1,1.0,2.9,153.7,4,3,68.3,0,0
58,20220625,1351,461,2,130,27,372.0,341,Delivered,Air,Express,COD,Extreme Heat,Low,14,7.09,0.5118,1412.1,2091.1,1523.45,1.59,1.94,4.9,203.73,3,3,77.6,0,0
59,20240517,2723,119,2,173,2,378.0,239,Delivered,Rail,Standard,Prepaid,Clear,High,20,97.75,4.7329,324.6,658.73,6549.16,1.5,0.47,3.03,64.8,2,2,48.2,1,0
60,20240507,1415,611,1,146,28,339.0,205,Delivered,Road,Standard,COD,Clear,Medium,11,7.16,0.866,1542.4,1848.2,2017.26,0.45,0.83,4.29,175.03,5,5,112.6,1,0
61,20220731,534,643,4,238,19,199.0,21,Returned,Road,Standard,COD,Rain,Low,9,26.83,0.3617,595.2,1119.35,3158.43,1.54,0.93,4.77,99.54,3,2,46.1,1,0
62,20240529,2707,672,1,229,5,109.0,257,In Transit,Road,Standard,COD,Storm,Low,3,12.46,0.2742,1189.3,1459.79,1369.93,1.0,2.01,7.22,96.67,4,3,69.5,1,0
63,20221218,1267,171,6,400,15,587.0,166,Delivered,Air,Standard,Credit Terms,Rain,High,6,32.68,0.3707,469.7,878.57,6360.15,2.46,0.58,7.02,74.29,3,2,49.5,1,0
64,20240310,19,121,3,61,29,842.0,38,Delivered,Road,Standard,COD,Clear,High,15,60.94,1.229,1447.4,1917.99,6033.7,0.63,0.88,1.52,156.17,5,5,126.6,0,0
65,20241027,1956,40,10,9,19,205.0,121,In Transit,Rail,Standard,COD,Clear,Medium,8,57.19,0.6897,1781.0,2268.99,4917.11,2.01,1.04,3.08,338.46,6,5,130.7,1,0
66,20240628,963,343,9,306,16,101.0,160,Delivered,Air,Standard,COD,Rain,Medium,2,17.38,0.0807,471.9,812.28,8167.25,0.81,0.54,2.49,61.63,3,2,47.4,1,0
67,20220724,2468,90,6,454,8,172.0,314,Delivered,Rail,Express,COD,Clear,Low,4,17.0,0.1251,316.0,581.42,4336.22,2.24,0.15,1.78,35.54,2,4,95.2,1,1
68,20220717,460,613,10,458,12,268.0,223,Delivered,Road,Standard,COD,Storm,Low,2,5.73,0.1545,1777.3,1970.03,1685.11,2.02,0.94,3.77,309.06,6,6,138.7,2,0
69,20220503,2215,465,10,149,25,331.0,136,Delivered,Road,Standard,Credit Terms,Rain,Low,5,25.35,0.3813,463.2,557.49,5320.44,0.52,0.9,3.25,78.08,3,2,50.0,0,0
70,20240711,2492,253,6,407,26,270.0,344,Delivered,Road,Express,Prepaid,Clear,Medium,18,42.22,2.5345,1503.0,1998.57,4704.23,1.1,1.73,1.6,156.12,3,3,69.7,3,0
71,20230822,365,233,4,156,14,94.0,221,Delivered,Road,Standard,Prepaid,Storm,High,1,7.96,0.0408,1333.0,2054.57,6348.95,3.45,1.6,3.73,298.03,5,5,123.0,2,0
72,20220620,1755,360,9,406,17,677.0,340,Delivered,Road,Express,Credit Terms,Rain,Medium,15,10.4,1.1369,390.7,666.61,990.53,1.1,1.23,2.34,53.49,2,1,24.3,1,0
73,20231006,1938,116,3,47,21,38.0,160,Delivered,Road,Express,Prepaid,Clear,Low,15,54.82,1.6826,492.7,1122.93,4175.11,1.77,1.26,3.16,,2,2,45.9,1,0
74,20230804,2766,334,4,102,30,289.0,298,Delivered,Road,Standard,COD,Clear,Low,21,118.96,1.1744,370.2,911.37,9782.31,1.36,1.49,4.45,42.91,2,1,25.2,1,0
75,20231017,883,504,7,339,6,689.0,285,Delivered,Road,Standard,Credit Terms,Clear,High,20,57.28,3.4583,2119.8,,3012.94,1.25,0.62,1.43,247.35,7,6,150.5,2,0
76,20231127,1460,370,1,227,2,543.0,251,In Transit,Road,Express,Prepaid,Clear,High,1,7.21,0.0917,1459.0,2330.1,3826.95,1.62,0.94,1.42,270.37,3,8,191.7,3,1
77,20220630,1220,391,2,233,2,156.0,326,Delivered,Road,Same-Day,Prepaid,Extreme Heat,Low,20,67.2,1.4197,2057.6,2428.18,10419.85,2.16,0.67,3.92,298.22,1,1,24.7,1,0
78,20230301,1122,663,6,107,17,107.0,194,Delivered,Road,Express,Prepaid,Clear,Low,16,204.52,0.5147,1353.2,2434.07,3397.3,0.19,1.19,1.65,181.11,3,2,48.6,1,0
79,20240301,2983,305,2,468,11,551.0,30,Cancelled,Road,Standard,Credit Terms,Clear,Low,18,128.19,2.3721,460.5,1190.98,7997.51,0.34,1.3,2.02,49.49,3,2,48.6,2,0
80,20240923,1968,100,9,222,4,,133,Delivered,Road,Standard,COD,Fog,Medium,5,18.69,0.4532,1282.8,2130.09,2698.63,1.3,1.44,2.16,182.24,5,8,185.7,1,1
